Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,163,65520,NA
2021-02-28,4491,6717,141570,NA
2021-03-07,14420,15626,207090,NA
2021-03-14,21715,23162,271440,NA
2021-03-21,35595,36607,325260,NA
2021-03-28,56290,56323,396630,NA
2021-04-04,84595,84881,450450,NA
2021-04-11,117992,121415,528840,NA
2021-04-18,164107,171082,607230,NA
2021-04-25,216158,226598,685620,NA
2021-05-02,273749,284732,685620,NA
2021-05-09,338813,366328,746460,NA
2021-05-16,414824,451000,807300,NA
2021-05-23,493606,535073,868140,NA
2021-05-30,581932,637023,928980,NA
2021-06-06,680290,750705,1055790,NA
2021-06-13,793013,853433,1103760,NA
2021-06-20,909422,981654,1252900,NA
2021-06-27,1033848,1114684,1302040,NA
2021-07-04,1161952,1237012,1351180,1161952
2021-07-11,1289999,1366436,1502110,1369338
2021-07-18,1425371,1502424,1682290,1576724
2021-07-25,1633071,1691605,2032290,1750577
2021-08-01,1887555,1946186,2411370,2063064
2021-08-08,2164231,2211232,2769390,2375551
2021-08-15,2451622,2511256,3157830,2654505
2021-08-22,2754616,2795343,3602430,2932955
2021-08-29,3056599,3347427,3985020,3226921
2021-09-05,NA,3899621,4630860,3520887
2021-09-12,NA,4331170,5228730,3814853
2021-09-19,NA,4715319,5729490,4348809
2021-09-26,NA,5047129,6150690,4882765
2021-10-03,NA,NA,NA,5416721
2021-10-10,NA,NA,NA,5950677
2021-10-17,NA,NA,NA,6484633
2021-10-24,NA,NA,NA,7018589
2021-10-31,NA,NA,NA,7552545
2021-11-07,NA,NA,NA,7707286
2021-11-14,NA,NA,NA,7862027
2021-11-21,NA,NA,NA,8016768
2021-11-28,NA,NA,NA,8016768
2021-12-05,NA,NA,NA,8016768
